country,year,date,latitude,longitude,yield,maxyield,name
China,1964,-164404800,41.5,88.5,NaN,NaN,-
China,1965,-146260800,41.5,88.5,NaN,NaN,-
China,1966,-115156800,41.5,88.5,NaN,NaN,-
China,1966,-100382400,41.5,88.5,NaN,NaN,-
China,1966,-95022000,41.5,88.5,NaN,NaN,-
China,1967,-80251200,40.744,89.775,NaN,NaN,-
China,1967,-63831600,41.5,88.5,NaN,NaN,-
China,1968,-31950000,41.5,88.5,NaN,NaN,-
China,1969,-8712000,41.376,88.318,NaN,NaN,-
China,1969,-8107200,40.722,89.515,NaN,NaN,-
China,1970,24724800,40.52,89.779,NaN,NaN,-
China,1971,59288400,41.5,88.5,NaN,NaN,-
China,1972,63608400,41.5,88.5,NaN,NaN,-
China,1972,69742800,41.5,88.5,NaN,NaN,-
China,1973,110001600,40.7985,89.8091,NaN,NaN,-
China,1974,140673600,40.518,89.619,NaN,NaN,-
China,1975,183618000,41.375,88.326,NaN,NaN,-
China,1976,191221200,41.5,88.5,NaN,NaN,-
China,1976,212558400,41.5,88.5,NaN,NaN,-
China,1976,214372800,41.708,88.37,NaN,NaN,-
China,1976,217054800,40.696,89.627,NaN,NaN,-
China,1977,243316800,41.5,88.5,NaN,NaN,-
China,1978,258786000,41.5,88.5,NaN,NaN,-
China,1978,277185600,41.523,88.722,NaN,NaN,-
China,1978,282459600,41.5,88.5,NaN,NaN,-
China,1979,306043200,41.5,88.5,NaN,NaN,-
China,1980,340516800,40.719,89.651,NaN,NaN,-
China,1982,402638400,41.5,88.5,NaN,NaN,-
China,1983,420868800,41.679,88.368,NaN,NaN,-
China,1983,434260800,41.54,88.72,NaN,NaN,-
China,1984,465624000,41.57,88.73,NaN,NaN,-
China,1984,472280400,41.737,88.425,NaN,NaN,-
China,1987,549864000,41.518,88.713,NaN,NaN,-
China,1988,591508800,41.768,88.38,NaN,NaN,-
China,1990,643694400,41.569,88.701,NaN,NaN,-
China,1990,650779200,41.514,88.739,NaN,NaN,-
China,1992,706420800,41.513,88.774,NaN,NaN,-
China,1992,717393600,41.716,88.336,NaN,NaN,-
China,1993,749793600,41.667,88.695,NaN,NaN,-
China,1994,771220800,41.53,88.71,NaN,NaN,-
China,1994,781502400,41.66,88.75,NaN,NaN,-
China,1995,800510400,41.6,88.82,NaN,NaN,-
China,1995,808632000,41.56,88.8,NaN,NaN,-
China,1996,834206400,41.66,88.69,NaN,NaN,-
China,1996,838612800,41.82,88.42,NaN,NaN,-
France,1960,-311886000,27,0,NaN,NaN,gerb._bleue
France,1960,-307742400,27,0,NaN,NaN,gerb._blanche
France,1960,-284410800,27,0,NaN,NaN,gerb._rouge
France,1961,-274132800,27,0,NaN,NaN,-
France,1961,-257194800,24.0571,5.0521,NaN,NaN,agate
France,1962,-242078400,24.063,5.0418,NaN,NaN,beryl
France,1963,-214344000,24.0413,5.0521,NaN,NaN,emeraude
France,1963,-213307200,24.0433,5.057,NaN,NaN,amethyste
France,1963,-195681600,24.0355,5.0386,NaN,NaN,rubis
France,1964,-185569200,24.0536,5.0523,NaN,NaN,opale
France,1964,-175032000,24.0666,5.0345,NaN,NaN,topaze
France,1964,-160686000,24.0418,5.0416,NaN,NaN,turquoise
France,1965,-152823600,24.0587,5.0311,NaN,NaN,saphir
France,1965,-144878400,24.055,5.0508,NaN,NaN,jade
France,1965,-134164800,24.0649,5.034,NaN,NaN,corindon
France,1965,-128890800,24.0437,5.0469,NaN,NaN,tourmaline
France,1966,-122238000,24.0441,5.0412,NaN,NaN,grenaT
France,1966,-110491200,-22,-139,NaN,NaN,Aldebaron
France,1966,-109022400,-22,-139,NaN,NaN,Tamore
France,1966,-104356800,-22,-139,NaN,NaN,Betelguese
France,1966,-103233600,-22,-139,NaN,NaN,Rigel
France,1966,-102369600,-22,-139,NaN,NaN,Sirus
France,1967,-81288000,-22,-139,NaN,NaN,Altair
France,1967,-79387200,-22,-139,NaN,NaN,Antares
France,1967,-78955200,-22,-139,NaN,NaN,Arcturus
France,1968,-46900800,-22,-139,NaN,NaN,Capella
France,1968,-46209600,-22,-139,NaN,NaN,Castor
France,1968,-44568000,-22,-139,NaN,NaN,Pollux
France,1968,-42753600,-22.228,-138.644,NaN,NaN,Canopus
France,1968,-41457600,-21.821,-138.975,NaN,NaN,Procyon
France,1970,11592000,-22,-139,NaN,NaN,Andromede
France,1970,12196800,-22,-139,NaN,NaN,Cassiopee
France,1970,12888000,-22.309,-138.606,NaN,NaN,Dragon
France,1970,15048000,-22,-139,NaN,NaN,Eridan
France,1970,15825600,-21.935,-138.917,NaN,NaN,Licorne
France,1970,17899200,-22,-139,NaN,NaN,Pegase
France,1970,18417600,-22,-139,NaN,NaN,Orion
France,1970,18763200,-22,-139,NaN,NaN,Toucan
France,1971,44942400,-22,-139,NaN,NaN,Dione
France,1971,45547200,-23.8,-137.2,NaN,NaN,Encelade
France,1971,47448000,-22,-139,NaN,NaN,JapeT
France,1971,50472000,-22,-139,NaN,NaN,Phoebe
France,1971,50990400,-21.823,-138.976,NaN,NaN,Rhea
France,1972,78292800,-22,-139,NaN,NaN,Umbriel
France,1972,78724800,-22,-139,NaN,NaN,Titania
France,1972,81057600,-22,-139,NaN,NaN,Oberon
France,1973,112075200,-22,-139,NaN,NaN,Euterpe
France,1973,112680000,-22,-139,NaN,NaN,Melpomene
France,1973,114494400,-22,-139,NaN,NaN,Pallas
France,1973,115012800,-22,-139,NaN,NaN,Parthenope
France,1973,115358400,-22,-139,NaN,NaN,Tamara
France,1974,140587200,-22,-139,NaN,NaN,Capricorne
France,1974,142401600,-22,-139,NaN,NaN,Gemeaux
France,1974,143265600,-22,-139,NaN,NaN,Centaure
France,1974,143956800,-22,-139,NaN,NaN,Maquis
France,1974,145771200,-22,-139,NaN,NaN,Scorpion
France,1974,146548800,-22,-139,NaN,NaN,Taurue
France,1974,148363200,-22,-139,NaN,NaN,Verseau
France,1975,171172800,-22,-139,NaN,NaN,Achille
France,1975,186210000,-22,-139,NaN,NaN,Hector
France,1976,197355600,-22,-139,NaN,NaN,Patrocle
France,1976,205905600,-21.863,-138.786,NaN,NaN,Menelas
France,1976,215496000,-22,-139,NaN,NaN,Ulysse_A
France,1976,218610000,-22,-139,NaN,NaN,Astanax
France,1977,225176400,-21.84,-138.848,NaN,NaN,Ulysse_B
France,1977,227595600,-21.887,-138.92,NaN,NaN,Nestor
France,1977,228805200,-22,-139,NaN,NaN,Oedipe
France,1977,237009600,-21.783,-138.96,NaN,NaN,Ajax
France,1977,248158800,-22,-139,NaN,NaN,Oreste
France,1977,249195600,-21.884,-138.886,NaN,NaN,Enee
France,1977,251182800,-22,-139,NaN,NaN,Laocoon
France,1978,257403600,-22,-139,NaN,NaN,Polypheme
France,1978,259390800,-21.705,-138.934,NaN,NaN,Pylade
France,1978,259650000,-22,-139,NaN,NaN,Hecube
France,1978,268113600,-22,-139,NaN,NaN,Xanthois
France,1978,269668800,-22,-139,NaN,NaN,Ares
